@RELATION H4

@ATTRIBUTE attribute_0 REAL
@ATTRIBUTE attribute_1 REAL
@ATTRIBUTE attribute_2 REAL
@ATTRIBUTE attribute_3 REAL
@ATTRIBUTE attribute_4 REAL
@ATTRIBUTE attribute_5 REAL

@DATA
27200,13.11,1.67,360,104.44,6.03
27300,13.11,1.66,360,105.18,6.07
27400,13.08,1.69,362,105.06,6.08
27500,13.07,1.69,360,104.73,6.09
27600,13.09,1.68,362,105.87,6.07
27700,13.08,1.74,368,108.79,6.04
27800,13.09,1.73,366,108.24,6.02
27900,13.09,1.69,368,106.09,6.1
28000,13.09,1.74,368,109.24,6.03
28100,13.1,1.74,368,109.62,6.04
28200,13.07,1.74,368,109.67,6.07
28300,13.09,1.74,368,109.28,6.09
28400,13.1,1.74,368,108.75,6.08
28500,13.11,1.74,368,110.6,6.05
28600,13.09,1.74,368,108.91,6.02
28700,13.11,1.74,368,108.56,6.02
28800,13.06,1.74,368,109.1,6.13
28900,13.11,1.73,368,108.86,6.1
29000,13.1,1.73,368,108.53,6.14
29100,13.11,1.73,368,109.2,6.09
29200,13.07,1.75,368,111.13,6.04
29300,13.08,1.75,368,108.99,6.04
29400,13.09,1.73,368,109.02,5.85
29500,13.11,1.73,368,109.13,5.87
29600,13.1,1.73,368,108.05,6.14
29700,13.1,1.73,368,109.1,6.06
29800,13.06,1.73,368,110.55,6.1
29900,13.1,1.74,366,108.86,5.84
30000,13.09,1.72,368,108.73,6.09
30100,13.14,1.73,368,108.57,6.13
30200,13.1,1.72,368,109.57,6.06
30300,13.08,1.72,368,108.53,6.08
30400,13.09,1.72,368,109.46,6.05
30500,13.09,1.72,368,109.23,6.11
30600,13.1,1.72,368,109.44,5.86
30700,13.09,1.72,368,109.23,6.08
30800,13.09,1.73,368,108.1,6.12
30900,13.07,1.73,366,109.02,6
31000,13.1,1.72,368,108.97,6.14
31100,13.08,1.73,366,108.76,6.06
31200,13.11,1.73,368,109.35,6.06
31300,13.09,1.73,366,108.12,6.09
31400,13.09,1.72,368,108.36,6.07
31500,13.12,1.74,368,109.02,6.07
31600,13.07,1.72,368,108.61,6.12
31700,13.11,1.73,366,109.11,6.07
31800,13.08,1.72,368,109.33,6.12
31900,13.08,1.72,366,108.12,6.14
32000,13.12,1.72,368,108.84,6.11
32100,13.13,1.73,368,109.02,6.1
32200,13.09,1.73,366,108.46,6.14
32300,13.08,1.72,368,107.45,6.11
32400,13.09,1.72,366,108.9,6.08
32500,13.09,1.72,366,107.96,6.03
32600,13.1,1.73,368,109.26,6.15
32700,13.09,1.72,368,108.22,6.12
32800,13.08,1.71,366,107.88,6.09
32900,13.08,1.72,368,108.99,6.02
33000,13.1,1.72,368,108.28,6.12
33100,13.08,1.72,366,108.74,6.09
33200,13.08,1.73,366,109.23,6.12
33300,13.09,1.72,366,108.17,6.11
33400,13.1,1.74,366,108.91,6.02
33500,13.1,1.72,366,107.91,6.06
33600,13.09,1.73,368,109.19,6.11
33700,13.1,1.74,368,110.01,6.08
33800,13.08,1.73,368,109.02,6.08
33900,13.08,1.73,366,108.19,6.13
34000,13.1,1.72,368,108.99,6.12
34100,13.1,1.72,366,109.7,6.08
34200,13.08,1.72,368,109.62,6.1
34300,13.09,1.73,366,108.26,6.12
34400,13.07,1.73,368,109.49,6.1
34500,13.1,1.73,368,108.33,6.11
34600,13.08,1.73,368,108.59,6.07
34700,13.08,1.74,368,108.42,6.12
34800,13.11,1.74,368,108.16,5.77
34900,13.11,1.74,368,108.72,6.09
35000,13.09,1.73,366,109.48,6.11
35100,13.08,1.73,366,108.22,6.07
35200,13.08,1.75,368,109.17,6.08
35300,13.11,1.74,366,108.93,6.04
35400,13.07,1.73,366,109.47,6.07
35500,13.09,1.73,368,108.53,6.11
35600,13.07,1.74,366,109.03,5.75
35700,13.1,1.73,368,107.98,6.08
35800,13.08,1.73,366,108.41,5.79
35900,13.08,1.75,366,110.06,6.11
36000,13.09,1.73,368,109.34,6.09
36100,13.14,1.74,368,109.1,6.14
36200,13.11,1.74,366,108.92,6.14
36300,13.09,1.74,368,108.23,6.14
36400,13.08,1.74,368,109.23,6.15
36500,13.1,1.75,366,108.79,6.09
36600,13.06,1.73,366,108.51,6.07
36700,13.1,1.73,368,108.57,6.04
36800,13.1,1.72,368,109.34,6.05
36900,13.09,1.75,368,109.87,6.2
37000,13.07,1.73,368,109.42,6.03
