TESTING PARAMETERS,POWER SUPPLY VOLTAGE,CURRENT,FREQUENCY,NOISE LEVEL,OPERATING VOLTAGE RANGE
32600,13.08,1.66,348,103.39,7.84
32700,13.09,1.64,342,103.4,7.84
32800,13.08,1.67,348,102.87,7.87
32900,13.08,1.62,342,103.25,7.89
33000,13.08,1.66,342,103.17,7.58
33100,13.11,1.62,342,104.31,7.88
33200,13.09,1.64,344,103.77,7.92
33300,13.08,1.61,340,104.57,7.85
33400,13.11,1.62,342,103.76,7.89
33500,13.09,1.68,346,103.36,7.93
33600,13.09,1.66,344,103.52,6.99
33700,13.1,1.62,340,103.7,7.85
33800,13.06,1.68,346,102.7,7.02
33900,13.1,1.6,342,104.09,7.87
34000,13.1,1.63,346,104.25,6.96
34100,13.1,1.7,348,103.2,7.87
34200,13.09,1.62,344,103.82,6.91
34300,13.08,1.68,346,103.73,7.92
34400,13.06,1.7,350,103.7,7.92
34500,13.09,1.65,344,103.81,7.89
34600,13.05,1.65,344,103.36,7.82
34700,13.08,1.58,342,104.77,7.88
34800,13.09,1.68,344,103.32,6.98
34900,13.09,1.66,344,103.04,6.95
35000,13.11,1.69,346,102.43,7
35100,13.1,1.7,344,103.6,6.96
35200,13.09,1.67,344,102.76,7.95
35300,13.12,1.64,344,101.94,6.98
35400,13.1,1.6,344,103.33,7.89
35500,13.08,1.68,344,102.8,7.82
35600,13.11,1.61,340,105.03,7.82
35700,13.09,1.6,340,104.66,7.85
35800,13.07,1.55,336,104.19,9.69
35900,13.07,1.67,344,103.18,7.9
36000,13.1,1.67,344,104.39,8.86
36100,13.12,1.64,344,103.44,7.94
36200,13.09,1.64,340,104.35,7.9
36300,13.1,1.7,346,103.3,6.98
36400,13.1,1.68,344,102.64,6.93
36500,13.07,1.66,344,103.25,7.92
36600,13.09,1.62,340,102.63,7.67
36700,13.1,1.64,346,102.65,7.92
36800,13.08,1.6,344,103.94,6.97
36900,13.09,1.66,344,103.32,7
37000,13.08,1.68,346,102.7,7.83
37100,13.11,1.67,344,102.26,7.88
37200,13.07,1.66,344,102.6,7.87
37300,13.08,1.62,342,103.53,6.95
37400,13.09,1.63,342,103.25,7.85
37500,13.09,1.65,344,103.99,7.91
37600,13.09,1.61,344,105.37,7.83
37700,13.09,1.67,346,103.19,7.89
37800,13.09,1.61,340,103.91,7.85
37900,13.1,1.65,342,103.29,7.91
38000,13.09,1.68,344,104.4,6.99
38100,13.12,1.61,340,103.76,7.62
38200,13.09,1.68,348,102.87,7.91
38300,13.08,1.62,344,103.43,6.94
38400,13.11,1.56,340,105.03,8.79
38500,13.09,1.67,344,103.41,6.98
38600,13.07,1.69,346,104.07,6.97
38700,13.09,1.64,344,104.08,6.92
38800,13.07,1.68,346,102.86,6.98
38900,13.07,1.63,342,102.94,6.95
39000,13.09,1.64,342,105.06,7.91
39100,13.1,1.69,344,102.95,7.83
39200,13.06,1.65,344,104.65,7.58
