@relation Training

@attribute COUNT numeric
@attribute "POWER SUPPLY VOLTAGE" numeric
@attribute CURRENT numeric
@attribute FREQUENCY numeric
@attribute "NOISE LEVEL" numeric
@attribute "OPERATING VOLTAGE RANGE" numeric


@data
13100 , 13.14 , 1.47 , 368 , 108.36 , 6.24 
13200 , 13.14 , 1.46 , 360 , 108.64 , 6.75 
13300 , 13.18 , 1.47 , 374 , 108.59 , 6.81 
13400 , 13.14 , 1.48 , 370 , 109.05 , 6.95 
13500 , 13.16 , 1.46 , 366 , 108.03 , 6.86 
13600 , 13.13 , 1.45 , 372 , 107.32 , 7 
13700 , 13.16 , 1.46 , 366 , 107.9 , 6.44 
13800 , 13.16 , 1.45 , 364 , 109.05 , 6.46 
13900 , 13.15 , 1.47 , 366 , 108.4 , 6.56 
14000 , 13.14 , 1.45 , 370 , 107.44 , 6.67 
14100 , 13.11 , 1.45 , 366 , 107.93 , 6.85 
14200 , 13.12 , 1.43 , 362 , 106.49 , 6.65 
14300 , 13.09 , 1.46 , 362 , 107.32 , 6.8 
14400 , 13.13 , 1.46 , 360 , 107.41 , 6.69 
14500 , 13.13 , 1.44 , 380 , 105.13 , 6.81 
14600 , 13.15 , 1.47 , 368 , 107.49 , 6.39 
14700 , 13.15 , 1.46 , 374 , 107.7 , 6.58 
14800 , 13.1 , 1.45 , 366 , 109.01 , 6.77 
14900 , 13.13 , 1.46 , 354 , 108.27 , 6.47 
15000 , 13.12 , 1.46 , 366 , 107.94 , 6.62 
15100 , 13.11 , 1.45 , 356 , 107.15 , 6.67 
15200 , 13.12 , 1.47 , 356 , 108.61 , 6.69 
15300 , 13.12 , 1.46 , 358 , 107.85 , 6.52 
15400 , 13.14 , 1.45 , 364 , 107.69 , 6.65 
15451 , 13.13 , 1.38 , 374 , 105.57 , 6.29 
15500 , 13.11 , 1.47 , 368 , 107.23 , 6.98 
15600 , 13.11 , 1.46 , 358 , 106.48 , 7.11 
15700 , 13.11 , 1.47 , 360 , 108.5 , 6.88 
15800 , 13.13 , 1.47 , 360 , 107.95 , 7.4 
15900 , 13.16 , 1.45 , 362 , 107.1 , 6.53 
16000 , 13.14 , 1.45 , 354 , 107.73 , 6.72 
16100 , 13.14 , 1.46 , 358 , 107.86 , 6.65 
16200 , 13.13 , 1.46 , 358 , 107.1 , 7.16 
16300 , 13.15 , 1.46 , 366 , 107.78 , 7.63 
16400 , 13.18 , 1.48 , 364 , 107.44 , 7.56 
16500 , 13.14 , 1.46 , 368 , 106.62 , 7.95 
16600 , 13.14 , 1.48 , 364 , 107.47 , 7.37 
16700 , 13.11 , 1.45 , 366 , 106.94 , 7.24 
16800 , 13.1 , 1.45 , 364 , 106.87 , 7.45 
